Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004870811.1,Q5RAZ3,Homo sapiens,PMP22,Peripheral myelin protein 22 OS=Pongo abelii ,5.00E-79
XP_004870810.1,Q5RAZ3,Homo sapiens,PMP22,Peripheral myelin protein 22 OS=Pongo abelii ,5.00E-79
XP_004870809.1,Q9Y662,Homo sapiens,Hs3st3b1,Heparan sulfate glucosamine 3-O-sulfotransferase ,0
XP_004870807.1,Q12887,Homo sapiens,COX10,"Protoheme IX farnesyltransferase, mitochondrial ",0
XP_004870800.1,Q17R89,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Homo ,4.00E-132
XP_004870799.1,Q5SSM3,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Mus ,2.00E-131
XP_004870798.1,Q5SSM3,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Mus ,2.00E-131
XP_004870797.1,Q5SSM3,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Mus ,2.00E-131
XP_004870796.1,Q5SSM3,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Mus ,1.00E-107
XP_004870795.1,Q17R89,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Homo ,4.00E-131
XP_004870794.1,Q17R89,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Homo ,4.00E-131
XP_004870793.1,Q17R89,Homo sapiens,SH3BP1,Rho GTPase-activating protein RICH2 OS=Homo ,5.00E-131
XP_004870792.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,7.00E-123
XP_004870790.1,Q7TRF3,Homo sapiens,OR7D4,Olfactory receptor 867 OS=Mus musculus ,1.00E-131
XP_004870789.1,O14581,Homo sapiens,OR7A10,Olfactory receptor 7A17 OS=Homo sapiens ,5.00E-154
XP_004870788.1,Q9JHB2,Homo sapiens,OR7A17,Olfactory receptor 19 OS=Mus musculus GN=Olfr19 ,6.00E-105
XP_004870787.1,Q8NG99,Homo sapiens,OR7A17,Olfactory receptor 7G2 OS=Homo sapiens ,2.00E-75
XP_004870786.1,O14581,Homo sapiens,OR7G3,Olfactory receptor 7A17 OS=Homo sapiens ,6.00E-110
XP_004870785.1,Q8NG99,Homo sapiens,OR7G1,Olfactory receptor 7G2 OS=Homo sapiens ,4.00E-146
XP_004870784.1,Q8NG95,Homo sapiens,OR7C1,Olfactory receptor 7G3 OS=Homo sapiens ,3.00E-127
XP_004870779.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,5.00E-129
XP_004870775.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,9.00E-162
XP_004870772.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,2.00E-135
XP_004870771.1,O76100,Homo sapiens,OR7A17,Olfactory receptor 7A10 OS=Homo sapiens ,4.00E-140
XP_004870770.1,O14581,Homo sapiens,OR7A5,Olfactory receptor 7A17 OS=Homo sapiens ,1.00E-127
XP_004870769.1,O14581,Homo sapiens,OR7A10,Olfactory receptor 7A17 OS=Homo sapiens ,8.00E-154
XP_004870767.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,1.00E-136
XP_004870766.1,Q0VAX9,Homo sapiens,OR7E24,Olfactory receptor 18 OS=Mus musculus GN=Olfr18 ,2.00E-137
XP_004870764.1,Q8NGA0,Homo sapiens,OR7G3,Olfactory receptor 7G1 OS=Homo sapiens ,2.00E-106
XP_004870763.1,Q8NG99,Homo sapiens,OR7G1,Olfactory receptor 7G2 OS=Homo sapiens ,2.00E-127
XP_004870762.1,Q8NGA0,Homo sapiens,OR7G2,Olfactory receptor 7G1 OS=Homo sapiens ,4.00E-118
XP_004870761.1,P34987,Homo sapiens,OR7D4,Olfactory receptor 867 OS=Rattus norvegicus ,4.00E-99
XP_004870760.1,Q9JHB2,Homo sapiens,OR7A17,Olfactory receptor 19 OS=Mus musculus GN=Olfr19 ,2.00E-142
XP_004870759.1,Q9JHB2,Homo sapiens,OR7A10,Olfactory receptor 19 OS=Mus musculus GN=Olfr19 ,2.00E-112
XP_004870758.1,P23434,Homo sapiens,GCSH,"Glycine cleavage system H protein, mitochondrial ",3.00E-61
XP_004870755.1,Q8NGX0,Homo sapiens,OR10C1,Olfactory receptor 11L1 OS=Homo sapiens ,6.00E-93
XP_004870754.1,Q8NG76,Homo sapiens,OR2T8,Olfactory receptor 2T33 OS=Homo sapiens ,8.00E-138
XP_004870753.1,Q9CQ13,Homo sapiens,RAB11FIP4,Cooperator of PRMT5 OS=Mus musculus GN=Copr5 ,0
XP_004870746.1,O60309,Homo sapiens,LRRC37A,Leucine-rich repeat-containing protein ,5.00E-122
XP_004870737.1,Q63912,Homo sapiens,Ptp4a1,Oligodendrocyte-myelin glycoprotein OS=Mus ,5.00E-81
XP_004870728.1,Q8HYQ3,Homo sapiens,CCL3,C-C motif chemokine 3 OS=Macaca mulatta ,9.00E-12
XP_004870726.1,P55773,Homo sapiens,CCL15,C-C motif chemokine 23 OS=Homo sapiens ,3.00E-21
XP_004870725.1,Q16663,Homo sapiens,CCL23,C-C motif chemokine 15 OS=Homo sapiens ,6.00E-23
XP_004870724.1,Q16663,Homo sapiens,CCL23,C-C motif chemokine 15 OS=Homo sapiens ,7.00E-18
XP_004870720.1,Q8HYQ1,Homo sapiens,CCL5,C-C motif chemokine 5 OS=Macaca mulatta ,2.00E-37
XP_004870719.1,Q92804,Homo sapiens,caz,TATA-binding protein-associated factor ,4.00E-14
XP_004870718.1,Q92804,Homo sapiens,caz,TATA-binding protein-associated factor ,4.00E-14
XP_004870716.1,Q9H239,Homo sapiens,MMP19,Matrix metalloproteinase-28 OS=Homo sapiens ,2.00E-66
XP_004870713.1,P62944,Homo sapiens,AP2B1,AP-2 complex subunit beta OS=Rattus norvegicus ,0
XP_004870708.1,P0C7P3,Homo sapiens,SLFN13,Schlafen family member 14 OS=Homo sapiens ,0
XP_004870707.1,Q8CGY6,Homo sapiens,UNC45B,Protein unc-45 homolog B OS=Mus musculus ,0
XP_004870706.1,Q8CGY6,Homo sapiens,UNC45B,Protein unc-45 homolog B OS=Mus musculus ,0
XP_004870705.1,Q8CGY6,Homo sapiens,UNC45B,Protein unc-45 homolog B OS=Mus musculus ,0
XP_004870704.1,Q8CGY6,Homo sapiens,UNC45B,Protein unc-45 homolog B OS=Mus musculus ,0
XP_004870675.1,P80325,Homo sapiens,CCL11,Eotaxin OS=Cavia porcellus GN=CCL11 PE=1 ,1.00E-35
XP_004870661.1,Q28199,Homo sapiens,PSMD11,Cyclin-dependent kinase 5 activator 1 OS=Bos ,0
XP_004870659.1,O00231,Homo sapiens,PSMD11,26S proteasome non-ATPase regulatory subunit ,0
XP_004870658.1,Q5R8K4,Homo sapiens,ZNF207,Zinc finger protein 207 OS=Pongo abelii ,2.00E-63
XP_004870657.1,Q5R8K4,Homo sapiens,ZNF207,Zinc finger protein 207 OS=Pongo abelii ,2.00E-63
XP_004870656.1,Q5R8K4,Homo sapiens,ZNF207,Zinc finger protein 207 OS=Pongo abelii ,9.00E-67
XP_004870653.1,Q5R8K4,Homo sapiens,ZNF207,Zinc finger protein 207 OS=Pongo abelii ,3.00E-63
XP_004870652.1,Q5R8K4,Homo sapiens,ZNF207,Zinc finger protein 207 OS=Pongo abelii ,2.00E-66
XP_004870647.1,Q96QE5,Homo sapiens,Atad5,UPF0629 protein C17orf42 OS=Homo sapiens ,0
XP_004870644.1,Q5EA90,Homo sapiens,TMEM106A,Transmembrane protein 106A OS=Bos taurus ,1.00E-95
XP_004870641.1,O89026,Homo sapiens,Robo1,Roundabout homolog 1 OS=Mus musculus GN=Robo1 ,0
XP_004870639.1,O89026,Homo sapiens,Robo1,Roundabout homolog 1 OS=Mus musculus GN=Robo1 ,0
XP_004870638.1,O89026,Homo sapiens,Robo1,Roundabout homolog 1 OS=Mus musculus GN=Robo1 ,0
XP_004870637.1,O89026,Homo sapiens,Robo1,Roundabout homolog 1 OS=Mus musculus GN=Robo1 ,0
XP_004870631.1,Q08DJ5,Homo sapiens,CDH7,Cadherin-18 OS=Bos taurus GN=CDH18 PE=2 ,3.00E-176
XP_004870628.1,Q9NQ76,Homo sapiens,ZNF674,Matrix extracellular phosphoglycoprotein ,3.00E-56
XP_004870626.1,P17480,Homo sapiens,UBTFL1,Nucleolar transcription factor 1 OS=Homo ,8.00E-15
XP_004870624.1,Q9Y4D7,Homo sapiens,Plxnb3,Plexin-D1 OS=Homo sapiens GN=PLXND1 PE=1 ,0
XP_004870618.1,O14830,Homo sapiens,Ppef2,Serine/threonine-protein phosphatase with ,0
XP_004870616.1,Q4GZT3,Homo sapiens,Pkd2,Polycystin-2 OS=Bos taurus GN=PKD2 PE=2 ,0
XP_004870612.1,Q13316,Homo sapiens,DSPP,Dentin matrix acidic phosphoprotein 1 OS=Homo ,6.00E-94
XP_004870607.1,Q9BW91,Homo sapiens,Nudt9,"ADP-ribose pyrophosphatase, mitochondrial ",0
XP_004870606.1,Q9BW91,Homo sapiens,Nudt9,"ADP-ribose pyrophosphatase, mitochondrial ",5.00E-180
XP_004870605.1,Q9BW91,Homo sapiens,Nudt9,"ADP-ribose pyrophosphatase, mitochondrial ",0
XP_004870604.1,Q5NVG2,Homo sapiens,Hsd17b13,Estradiol 17-beta-dehydrogenase 11 OS=Pongo ,2.00E-105
XP_004870603.1,Q5NVG2,Homo sapiens,Hsd17b13,Estradiol 17-beta-dehydrogenase 11 OS=Pongo ,2.00E-132
XP_004870602.1,P53567,Homo sapiens,CEBPE,CCAAT/enhancer-binding protein gamma OS=Homo ,1.00E-12
XP_004870601.1,Q7Z5P4,Homo sapiens,Hsd17b13,17-beta-hydroxysteroid dehydrogenase 13 ,4.00E-156
XP_004870600.1,Q7Z5P4,Homo sapiens,Hsd17b13,17-beta-hydroxysteroid dehydrogenase 13 ,0
XP_004870588.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870587.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870586.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870585.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870584.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870583.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870582.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870581.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870580.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870579.1,Q12923,Homo sapiens,Ptpn13,Tyrosine-protein phosphatase non-receptor ,0
XP_004870578.1,Q9Y484,Homo sapiens,Wdr45,WD repeat domain phosphoinositide-interacting ,0
XP_004870571.1,Q5R6Z8,Homo sapiens,CACYBP,Calcyclin-binding protein OS=Pongo abelii ,8.00E-137
XP_004870561.1,Q8N4Q1,Homo sapiens,Chchd4,Mitochondrial intermembrane space import ,3.00E-78
XP_004870560.1,Q5XIP9,Homo sapiens,TMEM43,Transmembrane protein 43 OS=Rattus norvegicus ,0
XP_004870557.1,Q01831,Homo sapiens,Xpc,DNA repair protein complementing XP-C cells ,0
XP_004870556.1,Q01831,Homo sapiens,Xpc,DNA repair protein complementing XP-C cells ,0
XP_004870555.1,Q01831,Homo sapiens,Xpc,DNA repair protein complementing XP-C cells ,0
XP_004870554.1,Q01831,Homo sapiens,Xpc,DNA repair protein complementing XP-C cells ,0
XP_004870553.1,Q01831,Homo sapiens,Xpc,DNA repair protein complementing XP-C cells ,0
XP_004870552.1,P31641,Homo sapiens,SLC6A6,Sodium- and chloride-dependent taurine ,0
XP_004870551.1,P31641,Homo sapiens,Slc6a6,Sodium- and chloride-dependent taurine ,0
XP_004870550.1,P31641,Homo sapiens,Slc6a6,Sodium- and chloride-dependent taurine ,0
XP_004870549.1,P31641,Homo sapiens,Slc6a6,Sodium- and chloride-dependent taurine ,0
XP_004870548.1,P31641,Homo sapiens,Slc6a6,Sodium- and chloride-dependent taurine ,0
XP_004870547.1,P31641,Homo sapiens,Slc6a6,Sodium- and chloride-dependent taurine ,0
XP_004870536.1,Q6ZNL6,Homo sapiens,Fgd5,"FYVE, RhoGEF and PH domain-containing protein ",0
XP_004870526.1,P82663,Homo sapiens,MRPS25,"28S ribosomal protein S25, mitochondrial ",8.00E-48
XP_004870525.1,Q80Y56,Homo sapiens,PEP7,Rabenosyn-5 OS=Mus musculus GN=Zfyve20 ,1.00E-13
XP_004870524.1,Q80Y56,Homo sapiens,PEP7,Rabenosyn-5 OS=Mus musculus GN=Zfyve20 ,4.00E-13
XP_004870523.1,Q80Y56,Homo sapiens,PEP7,Rabenosyn-5 OS=Mus musculus GN=Zfyve20 ,4.00E-13
XP_004870517.1,Q9HBG6,Homo sapiens,all2124,Intraflagellar transport protein 122 homolog ,3.00E-11
XP_004870516.1,Q9HBG6,Homo sapiens,HET-E1,Intraflagellar transport protein 122 homolog ,6.00E-17
XP_004870515.1,Q9HBG6,Homo sapiens,HET-E1,Intraflagellar transport protein 122 homolog ,6.00E-17
XP_004870514.1,Q9HBG6,Homo sapiens,HET-E1,Intraflagellar transport protein 122 homolog ,6.00E-17
XP_004870513.1,Q9HBG6,Homo sapiens,HET-E1,Intraflagellar transport protein 122 homolog ,6.00E-17
XP_004870512.1,Q9HBG6,Homo sapiens,HET-E1,Intraflagellar transport protein 122 homolog ,2.00E-12
XP_004870504.1,O75155,Homo sapiens,Cand2,Cullin-associated NEDD8-dissociated protein ,0
XP_004870503.1,O75155,Homo sapiens,Cand2,Cullin-associated NEDD8-dissociated protein ,0
XP_004870502.1,Q9H000,Homo sapiens,Mkrn2,Probable E3 ubiquitin-protein ligase makorin-2 ,0
XP_004870496.1,Q9H845,Homo sapiens,Acad9,"Acyl-CoA dehydrogenase family member 9, ",0
XP_004870495.1,Q9H845,Homo sapiens,Acad9,"Acyl-CoA dehydrogenase family member 9, ",0
XP_004870481.1,Q9Y2R4,Homo sapiens,DDX52,Probable ATP-dependent RNA helicase DDX52 ,0
XP_004870480.1,Q9Y2R4,Homo sapiens,DDX52,Probable ATP-dependent RNA helicase DDX52 ,0
XP_004870477.1,O95147,Homo sapiens,DUSP14,Dual specificity protein phosphatase 14 ,2.00E-142
XP_004870476.1,O95147,Homo sapiens,DUSP14,Dual specificity protein phosphatase 14 ,2.00E-142
XP_004870475.1,O95147,Homo sapiens,DUSP14,Dual specificity protein phosphatase 14 ,2.00E-142
XP_004870474.1,O95147,Homo sapiens,DUSP14,Dual specificity protein phosphatase 14 ,2.00E-142
XP_004870460.1,Q6UWP2,Homo sapiens,Dhrs11,Dehydrogenase/reductase SDR family member ,8.00E-179
XP_004870459.1,Q6IN84,Homo sapiens,Mrm1,"rRNA methyltransferase 1, mitochondrial ",3.00E-134
XP_004870458.1,Q9H3C7,Homo sapiens,Pigw,Gametogenetin-binding protein 2 OS=Homo ,0
XP_004870456.1,Q7Z7B1,Homo sapiens,Pigw,Phosphatidylinositol-glycan biosynthesis ,0
XP_004870455.1,Q15649,Homo sapiens,ZNHIT3,Zinc finger HIT domain-containing protein ,2.00E-66
XP_004870454.1,Q15649,Homo sapiens,ZNHIT3,Zinc finger HIT domain-containing protein ,2.00E-66
XP_004870453.1,Q15649,Homo sapiens,ZNHIT3,Zinc finger HIT domain-containing protein ,2.00E-66
XP_004870452.1,Q15649,Homo sapiens,ZNHIT3,Zinc finger HIT domain-containing protein ,2.00E-66
XP_004870448.1,Q8NFA0,Homo sapiens,USP6,Ubiquitin carboxyl-terminal hydrolase 32 ,0
XP_004870447.1,Q8NFA0,Homo sapiens,USP6,Ubiquitin carboxyl-terminal hydrolase 32 ,0
XP_004870446.1,Q8NFA0,Homo sapiens,USP6,Ubiquitin carboxyl-terminal hydrolase 32 ,0
XP_004870445.1,Q8NFA0,Homo sapiens,USP6,Ubiquitin carboxyl-terminal hydrolase 32 ,0
XP_004870444.1,Q92624,Homo sapiens,PPM1D,Amyloid protein-binding protein 2 OS=Homo ,0
XP_004870433.1,Q5M7Z0,Homo sapiens,Rnft1,RING finger and transmembrane domain-containing ,0
XP_004870423.1,Q8HZV4,Homo sapiens,TUBD1,Tubulin delta chain OS=Canis familiaris GN=TUBD1 ,0
XP_004870415.1,P49951,Homo sapiens,Cltc,Clathrin heavy chain 1 OS=Bos taurus GN=CLTC ,0
XP_004870414.1,Q8IX18,Homo sapiens,DHX40,Probable ATP-dependent RNA helicase DHX40 ,0
XP_004870410.1,Q8N9F7,Homo sapiens,Gdpd1,Glycerophosphodiester phosphodiesterase ,0
XP_004870409.1,A1A4J7,Homo sapiens,Smg8,Protein SMG8 OS=Bos taurus GN=SMG8 PE=2 ,0
XP_004870397.1,P28661,Homo sapiens,4-Sep,Septin-4 OS=Mus musculus GN=Sept4 PE=1 ,0
XP_004870396.1,Q5R6R7,Homo sapiens,4-Sep,Septin-4 OS=Pongo abelii GN=SEPT4 PE=2 ,0
XP_004870394.1,Q5R6R7,Homo sapiens,4-Sep,Septin-4 OS=Pongo abelii GN=SEPT4 PE=2 ,0
XP_004870393.1,Q5R6R7,Homo sapiens,4-Sep,Septin-4 OS=Pongo abelii GN=SEPT4 PE=2 ,0
XP_004870392.1,Q5R6R7,Homo sapiens,4-Sep,Septin-4 OS=Pongo abelii GN=SEPT4 PE=2 ,0
XP_004870387.1,Q5ND04,Homo sapiens,HSF5,Heat shock factor protein 5 OS=Mus musculus ,0
XP_004870383.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870382.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870381.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870380.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870379.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870378.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870377.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870376.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870375.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870374.1,O95153,Homo sapiens,Bzrap1,Peripheral-type benzodiazepine receptor-associated ,0
XP_004870373.1,P11247,Homo sapiens,LPO,Myeloperoxidase OS=Mus musculus GN=Mpo PE=2 ,0
XP_004870372.1,P11247,Homo sapiens,LPO,Myeloperoxidase OS=Mus musculus GN=Mpo PE=2 ,0
XP_004870371.1,P11247,Homo sapiens,LPO,Myeloperoxidase OS=Mus musculus GN=Mpo PE=2 ,0
XP_004870368.1,Q9NXB0,Homo sapiens,Mpo,Meckel syndrome type 1 protein OS=Homo sapiens ,0
XP_004870362.1,Q8WWZ7,Homo sapiens,Abca5,ATP-binding cassette sub-family A member ,0
XP_004870359.1,Q8N8E3,Homo sapiens,Ccdc46,Coiled-coil domain-containing protein 46 ,0
XP_004870358.1,P42694,Homo sapiens,Helz,Probable helicase with zinc finger domain ,0
XP_004870357.1,Q5R5X4,Homo sapiens,CASC4,Protein CASC4 OS=Pongo abelii GN=CASC4 ,5.00E-163
XP_004870355.1,Q9HAU4,Homo sapiens,Nedd4l,E3 ubiquitin-protein ligase SMURF2 OS=Homo ,1.00E-165
XP_004870354.1,P16284,Homo sapiens,PECAM1,Platelet endothelial cell adhesion molecule ,0
XP_004870352.1,P17077,Homo sapiens,RPL9,60S ribosomal protein L9 OS=Rattus norvegicus ,6.00E-126
XP_004870347.1,Q8N139,Homo sapiens,Abca6,ATP-binding cassette sub-family A member ,0
XP_004870346.1,Q8N139,Homo sapiens,Abca6,ATP-binding cassette sub-family A member ,0
XP_004870345.1,Q8IUA7,Homo sapiens,Abca9,ATP-binding cassette sub-family A member ,0
XP_004870341.1,Q5MNZ9,Homo sapiens,Wipi1,WD repeat domain phosphoinositide-interacting ,0
XP_004870331.1,Q14344,Homo sapiens,Gna13,Guanine nucleotide-binding protein subunit ,0
XP_004870330.1,Q5VVP1,Homo sapiens,C9orf79,Protein FAM75A6 OS=Homo sapiens GN=FAM75A6 ,5.00E-36
XP_004870321.1,P05696,Homo sapiens,PRKCA,Protein kinase C alpha type OS=Rattus norvegicus ,0
XP_004870320.1,P05696,Homo sapiens,PRKCA,Protein kinase C alpha type OS=Rattus norvegicus ,0
XP_004870319.1,Q3T160,Homo sapiens,Npm1,Nucleophosmin OS=Bos taurus GN=NPM1 PE=2 ,3.00E-136
XP_004870315.1,O00232,Homo sapiens,PSMD12,26S proteasome non-ATPase regulatory subunit ,0
XP_004870314.1,O00232,Homo sapiens,PSMD12,26S proteasome non-ATPase regulatory subunit ,0
XP_004870312.1,Q9UKF7,Homo sapiens,Pitpnc1,Cytoplasmic phosphatidylinositol transfer ,0
XP_004870311.1,Q9UKF7,Homo sapiens,Pitpnc1,Cytoplasmic phosphatidylinositol transfer ,0
XP_004870310.1,Q9UKF7,Homo sapiens,Pitpnc1,Cytoplasmic phosphatidylinositol transfer ,0
XP_004870305.1,Q12830,Homo sapiens,E(bx),Nucleosome-remodeling factor subunit BPTF ,1.00E-102
XP_004870304.1,Q12830,Homo sapiens,E(bx),Nucleosome-remodeling factor subunit BPTF ,4.00E-102
XP_004870303.1,Q12830,Homo sapiens,E(bx),Nucleosome-remodeling factor subunit BPTF ,3.00E-102
XP_004870302.1,Q2M2W7,Homo sapiens,KPNA2,UPF0450 protein C17orf58 OS=Homo sapiens ,0
XP_004870298.1,P17844,Homo sapiens,DDX5,Probable ATP-dependent RNA helicase DDX5 ,0
XP_004870297.1,P17844,Homo sapiens,DDX5,Probable ATP-dependent RNA helicase DDX5 ,0
XP_004870296.1,P17844,Homo sapiens,DDX5,Probable ATP-dependent RNA helicase DDX5 ,0
XP_004870295.1,P17844,Homo sapiens,DDX5,Probable ATP-dependent RNA helicase DDX5 ,0
XP_004870294.1,Q96GE4,Homo sapiens,Ccdc45,Coiled-coil domain-containing protein 45 ,0
XP_004870293.1,Q96GE4,Homo sapiens,Ccdc45,Coiled-coil domain-containing protein 45 ,0
XP_004870292.1,Q96GE4,Homo sapiens,Ccdc45,Coiled-coil domain-containing protein 45 ,0
XP_004870291.1,Q96GE4,Homo sapiens,Ccdc45,Coiled-coil domain-containing protein 45 ,0
XP_004870290.1,Q9UHN1,Homo sapiens,POLG2,"DNA polymerase subunit gamma-2, mitochondrial ",0
XP_004870289.1,Q9UHN1,Homo sapiens,POLG2,"DNA polymerase subunit gamma-2, mitochondrial ",0
XP_004870288.1,Q9UHN1,Homo sapiens,POLG2,"DNA polymerase subunit gamma-2, mitochondrial ",0
XP_004870287.1,Q9UHN1,Homo sapiens,POLG2,"DNA polymerase subunit gamma-2, mitochondrial ",0
XP_004870285.1,Q5REI6,Homo sapiens,ZNF791,Zinc finger protein 791 OS=Pongo abelii ,3.00E-24
XP_004870284.1,Q14587,Homo sapiens,ZNF208,Zinc finger protein 268 OS=Homo sapiens ,0
XP_004870282.1,Q70KF4,Homo sapiens,Fsd2,Cardiomyopathy-associated protein 5 OS=Mus ,4.00E-90
XP_004870281.1,Q8N9B5,Homo sapiens,Jmy,Junction-mediating and -regulatory protein ,0
XP_004870280.1,O70494,Homo sapiens,SP3,Transcription factor Sp3 OS=Mus musculus ,7.00E-146
XP_004870278.1,Q4R8G4,Homo sapiens,C5orf37,Centrosomal protein POC5 OS=Macaca fascicularis ,2.00E-104
XP_004870265.1,Q9UI17,Homo sapiens,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial ",0
XP_004870264.1,Q9UI17,Homo sapiens,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial ",0
XP_004870263.1,Q9UI17,Homo sapiens,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial ",0
XP_004870254.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870253.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870252.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870251.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870250.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870249.1,Q6ZUX7,Homo sapiens,Lhfpl2,Lipoma HMGIC fusion partner-like 2 protein ,4.00E-119
XP_004870243.1,O09113,Homo sapiens,OTP,Homeobox protein orthopedia OS=Mus musculus ,1.00E-171
XP_004870240.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870239.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870238.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870237.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870236.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870235.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870234.1,O95263,Homo sapiens,PDE8B,High affinity cAMP-specific and IBMX-insensitive ,0
XP_004870233.1,Q96IU2,Homo sapiens,ZBED2,Zinc finger BED domain-containing protein ,6.00E-23
XP_004870232.1,Q8N302,Homo sapiens,Aggf1,Angiogenic factor with G patch and FHA ,0
XP_004870231.1,P24387,Homo sapiens,Crhbp,Corticotropin-releasing factor-binding ,2.00E-106
XP_004870230.1,P24387,Homo sapiens,Crhbp,Corticotropin-releasing factor-binding ,0
XP_004870229.1,P24387,Homo sapiens,Crhbp,Corticotropin-releasing factor-binding ,4.00E-169
XP_004870225.1,Q13576,Homo sapiens,Iqgap2,Ras GTPase-activating-like protein IQGAP2 ,0
XP_004870224.1,Q13576,Homo sapiens,Iqgap2,Ras GTPase-activating-like protein IQGAP2 ,0
XP_004870223.1,Q13576,Homo sapiens,Iqgap2,Ras GTPase-activating-like protein IQGAP2 ,0
XP_004870222.1,Q69ZS6,Homo sapiens,SVOPL,Synaptic vesicle glycoprotein 2C OS=Mus ,3.00E-20
XP_004870221.1,Q8NH95,Homo sapiens,OR2S2,Putative olfactory receptor ENSP00000348552 ,4.00E-163
XP_004870220.1,Q8NH95,Homo sapiens,OR2S2,Putative olfactory receptor ENSP00000348552 ,5.00E-167
XP_004870219.1,Q8NH95,Homo sapiens,OR2S2,Putative olfactory receptor ENSP00000348552 ,4.00E-164
XP_004870217.1,Q9WTU0,Homo sapiens,PHF8,PHD finger protein 2 OS=Mus musculus GN=Phf2 ,0
XP_004870214.1,Q9Y3P8,Homo sapiens,Sit1,Signaling threshold-regulating transmembrane ,3.00E-62
XP_004870210.1,Q8N4T4,Homo sapiens,Ccdc107,Vav-like protein C9orf100 OS=Homo sapiens ,2.00E-72
